"guid","Label","Description","Specification","Type","ResourceType","Dimension","InformationElement","Source","Example implementation"
"b41020ce-3754-4021-902b-8b2a13bafd1a","MEASURE_INFRASPECIFICEPITHET_SINGLE_COMPLETENESS","Test to see whether a provided dwc:infraspecificEpithet contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if infraspecificEpithet is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","infraspecificEpithet","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"84f78541-81a8-44a0-a650-ea6d0e18f18e","MEASURE_ISLAND_SINGLE_COMPLETENESS","Test to see whether a provided dwc:island contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if island is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","island","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"458603eb-0ed1-443b-8a1b-99f44620d399","MEASURE_ISLANDGROUP_SINGLE_COMPLETENESS","Test to see whether a provided dwc:islandGroup contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if islandGroup is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","islandGroup","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"e83e093d-b28e-489a-acc6-5c8b0fb47a08","MEASURE_KINGDOM_SINGLE_COMPLETENESS","Test to see whether a provided dwc:kingdom contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if kingdom is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","kingdom","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"e8b20ac3-e9c4-49cf-a816-d92faaa5faa7","MEASURE_LIFESTAGE_SINGLE_COMPLETENESS","Test to see whether a provided dwc:lifeStage contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if lifeStage is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","lifeStage","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"807a29e3-dd2c-4c2a-8c12-da97b1749f93","MEASURE_LOCALITY_SINGLE_COMPLETENESS","Test to see whether a provided dwc:locality contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if locality is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","locality","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"e0814fc2-73db-4244-a538-fde458c904ec","MEASURE_MAXIMUMDEPTHINMETERS_SINGLE_COMPLETENESS","Test to see whether a provided dwc:maximumDepthInMeters contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if maximumDepthInMeters is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","maximumDepthInMeters","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"e66c7d1f-1b3d-43a2-b3ab-9f45be0f7168","MEASURE_MAXIMUMELEVATIONINMETERS_SINGLE_COMPLETENESS","Test to see whether a provided dwc:maximumElevationInMeters contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if maximumElevationInMeters is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","maximumElevationInMeters","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"3f26b083-4b8b-409b-9036-ee1db7c49938","MEASURE_MINIMUMDEPTHINMETERS_SINGLE_COMPLETENESS","Test to see whether a provided dwc:minimumDepthInMeters contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if minimumDepthInMeters is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","minimumDepthInMeters","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"3b2d48b7-4949-4a03-833c-545c7ba6be49","MEASURE_MINIMUMELEVATIONINMETERS_SINGLE_COMPLETENESS","Test to see whether a provided dwc:minimumElevationInMeters contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if minimumElevationInMeters is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","minimumElevationInMeters","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"d950775d-70e0-4106-8369-8d2a890fcb34","MEASURE_MONTH_SINGLE_COMPLETENESS","Test to see whether a provided dwc:month contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if month is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","month","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"bf0475a3-7ae0-4289-baa0-e890562d4560","MEASURE_MUNICIPALITY_SINGLE_COMPLETENESS","Test to see whether a provided dwc:municipality contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if municipality is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","municipality","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"806fe7e3-daf4-43bb-8f9c-29948c02e230","MEASURE_NAMEPUBLISHEDINYEAR_SINGLE_COMPLETENESS","Test to see whether a provided dwc:namePublishedInYear contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if namePublishedInYear is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","namePublishedInYear","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"93d2dc26-3c55-49ae-aa77-cf9ff882cfa5","MEASURE_OCCURRENCEID_SINGLE_COMPLETENESS","Test to see whether a provided dwc:occurrenceID contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if occurrenceID is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","occurrenceID","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"e091d3a9-2bf4-4f4c-80a6-9aeaf9f8c700","MEASURE_OCCURRENCESTATUS_SINGLE_COMPLETENESS","Test to see whether a provided dwc:occurrenceStatus contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if occurrenceStatus is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","occurrenceStatus","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"1a77cdc6-adda-4132-8086-ad0618ca5b1f","MEASURE_ORDER_SINGLE_COMPLETENESS","Test to see whether a provided dwc:order contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if order is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","order","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"cba540ec-8176-4d73-b6e7-48da13c97559","MEASURE_PHYLUM_SINGLE_COMPLETENESS","Test to see whether a provided dwc:phylum contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if phylum is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","phylum","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"65df1295-18eb-4e58-9f10-73b57883857f","MEASURE_PREPARATIONS_SINGLE_COMPLETENESS","Test to see whether a provided dwc:preparations contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if preparations is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","preparations","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"565a049b-9b51-48ba-83c2-ec3d6e9f5939","MEASURE_RECORDEDBY_SINGLE_COMPLETENESS","Test to see whether a provided dwc:recordedBy contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if recordedBy is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","recordedBy","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"35a8a879-04f0-48cc-a6f4-846c1917583b","MEASURE_RECORDNUMBER_SINGLE_COMPLETENESS","Test to see whether a provided dwc:recordNumber contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if recordNumber is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","Single Record","Completeness","recordNumber","Kurator","https://github.com/kurator-org/dwc_completeness/tree/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
